,Website,Label
13,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?3v2i12t7a9a0vvvzidjwbtk7wc1931k6wlnwng4ype8k03jsg4osw0ytly2nzmtv9gsvxvuma27j5qblu1dq0bju0li98b5fswbqs6c38jmcayx5yau8le2vzk58v0mo6yey4r2bbnnlmkpkvksgzuczeh7aqtywscuw,bad
14,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?bf1yy7cr2a3rixzynbpqh9ahfneo7f2iu3gt9tla4n2ml2k0cazui0bxwqm46ol1q2uyvf9y4alob6xofwjy7uw4li7r7rswtmvo34n6e9tqeretoxsusoxe856dwxaqj6em03rnbldpdsi2qbvjztx8y3kuzukj1z60,bad
15,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?e7phuben3xolwumxh0y3j1cyzn37g24u8tc25qp8netk9fhqpgt0g68gtam0bq5jjhko8awvopgw5yntfg4vmacfkypvoue9bzxjatfyivvnujh0zk6muh3ffrb5lqdwpagz4vymqu0kdqudazz6g2lwtw2emebcprct,bad
16,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?hwvxhdr49r4q92bw3fjfazsoddfn9mrpinnz2e4a771f9cbarvp2uhq9v6v4rntaag0bvdm2jmgrys3pnrri0hq5nl9e92ojiyvdbhev5vn3npsbgktq3kup635e5txmss15afzeanhyca0tu4jwnelshq8mj50bx0f8,bad
17,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?jsarv9awm8akrsckesfwulv82re2mau635xxc9uyf5j8xvrbo88js4rtu6uggolitig6ra47fmeci6n8dvq6zhytnta4iwmbf4g7ekdt8r7pxuwapnfo6eis9twrpj35mjb15oubg12duxnkl40qisirlfibykfl5rm9,bad
18,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?qm6wfzj8cuyqr02d5478fsnieqasrn7i0ceobyvotuek4gx9j4gzw5hbus4lf04omidxh0la41v8hsg2ww1t1i6vb9hqilf64s3l3ov7pqd7ju8gq9arrfn3o5t8p9ct2fe44aas2ozki820fb18ro0gs3nib1ccfqgj,bad
19,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?tje65wqeto01k9ujj5f0279lqriz6d6yxj42guf0jpa4x5mh93ra01vzrezwr5voozp5t6ecuogss4a273cg38gumfrdkm30msegystthal0dwbkzn12vhwhwnvgaxqwq5cox7heg4nu1zezmf1hwxzskv0utzrj5582,bad
20,refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?y05bhlivdqyedxwqstd8ia91mv6b8bl7kqh3c1xqrw55t1vlu9tcj2c6xih5t3aetsg6tewka2p43kpwsi9bklhh5ylx1wcups1i7w3hxrkzbav5s5gcqxtuvfswb5r1wrj4nlkkd6kofft8k0ka8d53swz52q5yio26,bad
21,google.co.ma/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=2&amp;cad=rja&amp;ved=0ccsqfjab&amp;url=http%3a%2f%2fhoteldiscounts247.com%2fimages%2f&amp;ei=aklbuojcdinjhaflnidiba&amp;usg=afqjcnhobefmredlao7qqeyh4qysm1jqqg&amp;sig2=gdc8afj91bpxzygjp8h4da,bad
22,cultivateyourlife.com/data/santander.co.uk/retail.php?santander.co.uk/csgs/satellite?appid=abbey.internet.abbeycom&amp;canal=cabbeycom&amp;cid=1237889419188&amp;empr=abbeycom&amp;launch=no&amp;leng=en_gb&amp;pagename=abbeycom/page/wc_acom_viewselector,bad
23,gergsd.pochta.ru/pte.itonlineperalelogin-home.fcctype%3d33554433%26realmoid%3d06-b5208d98-1e41-108b-b247-8392a717ff3e%26guid%3d%26smauthreason%3d0%26method%3dget%26smagentname%3d_sm_uhzizhag2bep4yagcqrlkgelyk1icf0_2f8frjgfgwwoyp1nuqkvffuxa_3d_3d%26target%3d_sm.aspx,bad
24,jrgonzalezabogados.com/templates/disco-beat-template/images/bluedarkgrey/premiostododia/cadastro.php?5ejfws7wjiqyohfvb5ocgabq62qq7p2b4lq1dnv45azgensux5k46btc1vn4ge4ta1qqnlusvt9ah26f7qic2bo27b6nq9g107rwsloofxywz4c6tuiu78wdi210ah0jn2fgn55333z27b8z7pudwqqfsro39ymw,bad
25,paypal.com.login.paypal.com-login.login-dispatch.paypal.com-1329413036.skey-fec6ee40f64177e62tttqw45212326653tece.watchvoip.com/webscr_cmd_home&country_lang.x=true/login.htm?id=?cmd=_login-run&dispatch=5885d80a13c0db1f8e263663d3faee8d43b1bb6ca6ed6d454adc375ba2,bad
26,google.fr/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=2&amp;sqi=2&amp;ved=0cfaqfjab&amp;url=inchelseahairdesign.com/testimonials/&amp;ei=ydtet6iweya58goqzbtncw&amp;usg=afqjcnfvchm-vr4tw-9tlamt1ulbkgczga&amp;sig2=ba7yvjcgdbqcufpzsxczpq,bad
27,em.facebookmail.com/pub/cc?_ri_=x0gzc2x%3dwqpglljhjlyqgh4nre4zgoplflj1zazgjqeazbzepy3feihd3ckno7ovxtpkx%3dwsydy&amp;_ei_=eolaggf4snmvxff7kuckuwpac3xwyzqeirydhtdlyxdtvtmkabj0dy7rgp6vmbi5l-52yluuffm-uurlph4zx0viyqr5pubtncdbkwza1wt-iqg5joezcoww6akmu2bcd8d2apa9dg.,bad
28,axiem.com.mx/employee_portal/modules/forums/images/f4433hsjh273h475hh387d8dhsjr4fdsf4433hsjh27762h3rturnit87d8dhsjpy762h387d8dhsjronstylehdggsyy762h387d8dhsjprth273h475hh277362u263h273h44fdsf4433h&amp;juey66gdfer43hsjh273h475hh277362rtuh273h475hh274fd.htm,bad
29,google.co.ma/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=2&amp;cad=rja&amp;ved=0ccsqfjab&amp;url=hoteldiscounts247.com/images/&amp;ei=aklbuojcdinjhaflnidiba&amp;usg=afqjcnhobefmredlao7qqeyh4qysm1jqqg&amp;sig2=gdc8afj91bpxzygjp8h4da,bad
30,ng00.com/vb/redirect-to/?redirect=ebay-security.servehttp.com/signin.puserid=usingssl=0.puserid=1.co_partnerid=2.siteid=0.ru=https3a2f2farbd.ebay.com=confirmidentity.redirectpage3d955263d1.pp=pass.pagetype=4048.k=1.favoritenav=bshowgif=0.i1=0.htm,bad
31,fundacioncharlot.com/festicine/wp-content/uploads/2011/.paypal.com/paypal.com/paypal/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e51c6688d5daf573bd58b8375a5b40ab241c6688d5daf573bd58b8375a5b40ab24,bad
32,builtontherockjourney.com/paypal.it/login/security/confirmation4548684645384534/it/processing.htm?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43659f88b57187fd8862aee581eadf53c3e09f88b57187fd8862aee581eadf53c3e0,bad
33,axiem.com.mx/employee_portal/modules/forums/images/f4433hsjh273h475hh387d8dhsjr4fdsf4433hsjh27762h3rturnit87d8dhsjpy762h387d8dhsjronstylehdggsyy762h387d8dhsjprth273h475hh277362u263h273h44fdsf4433h&juey66gdfer43hsjh273h475hh277362rtuh273h475hh274fd.htm,bad
34,black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/ada447d16b3d96bac39a2b4cf66e555b/index.php?cmd=_logindispatch=5885d80a13c0db,bad
35,qipdscview0908686980.krovatka.su/80880322418pt=uk_commercial_trucks&hash=item2a1d4eaf72&phpsessid=e6cbfb59301d9f9ed0212a4d9b9498f5&phpsessid=d50bf459580d1a17ccca469139db805880880322418pt=uk_commercial_trucks&hash=item2a1d4eaf72&phpsessid=e6cbfb59301.html,bad
36,vaalia.fi/wp-content/plugins/stats/paypal.com/en.aspx.log/account.member/cgi.bin.webscr/cmd.login.run.dispatch/5885d80a1.3d124a28b9f8e849e24dbe863/06847502d2fede791f4b5a0c0b51214d/0b83250660607bb4834f3b661eabeac3/66bec9baae03ff44c003257bb5206ecb/,bad
37,84.203.152.12/user/update.paypal/paypal.com/default.aspxrru=inbox&amp;wa=/update/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e56c4a832153dab39d6763fe2b7a2114c06c4a832153dab39d6763fe2b7a2114c0,bad
38,paypal.com.d6saf46da5s4f.hg6df514g65df4h53dfh.fd1h6thd5341g6wre1g23sdg.h16h3sd1gf6we54gh65s1dfgh6rehg1sdfh16rh13fs1dh65.1h6e1rhgsd54f651gh6we5f1eswd6g553sg.h16wesr1dg3s1d6g5ew1g.sh1we61hg3sd54f6we15g65s1dg.weq6g6sd5g41s.tecsystem.com.mx/?cmd=_home&amp;,bad
39,mesentericischemia.net/paypal.it/login/security/confirmation4548684645384534/it/processing.htm?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43656168e67600f957a2d0fda05b27e4b7b46168e67600f957a2d0fda05b27e4b7b4,bad
40,sundhedsuddannelsepaabloggen.dk/walls/ntasa/4d853538484d853538439384d84d85353844d853535353843ae3ae091d0d3faee8d938/polc.htm?d80a13c0db1f8e263663d3faee8d9384d85353843a619606282818e091d0d5cca9da5bbd3cf815b0e20b6a6d91b7d5cca9da5bbd3cf815b0e20b6a6d91b7,bad
41,black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/87f39ae945d97c6a09a28b30cdc427e0/index.php?cmd=_logindispatch=5885d80a13,bad
42,bid.openx.net/json?amp;amp;amp;amp;cid;=oxpv1:1-1-1-1-2&amp;f;=0.1&amp;pid;=6816e307-0a4f-774f-9a04-0656ee32b144&amp;s;=468x60&amp;url;=hxxp:/zacateks.com/wp-includes/pomo/online.wellsfargo.com/online.wellsfargo.com/authenticat&amp;c=oxm_85552372154,bad
43,mesentericischemia.net/paypal.it/login/security/confirmation4548684645384534/it/processing.htm?cmd=_processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43656168e67600f957a2d0fda05b27e4b7b46168e67600f957a2d0fda05b27e4,bad
44,updatepaypal.c0m.uk.d4ps1s5u3xo5t2c6v2kn3fz7c9y5u2v5u2rf3o5x1x0.zfc6v3dx2s5j9uk1xble4efc1m3dxk21k3v5ch95den4m39d1sv2h.balihoo.gr/account/webxscr.html?cmd=2615d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625t28d36121s1cd82730257d4ffad785277a59c2209,bad
45,84.203.152.12/xmlservices/1/update/paypal.com/default.aspxrru=inbox&wa=/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e553f4fadaf2e8aadda61f2620b71b334553f4fadaf2e8aadda61f2620b71b3345,bad
46,naylorantiques.com/d0y_qx_6_l_6hqo_ewkbketxbu1u7oy10gmkyfrgwnm8llrdhlxcps_ale1_d9b6mij__8tja_b1t__hke2i6dv4xmv0f1fr24/i5_mlqfp_znd5_khgrrgbwjyv__q6gz1yve5hq7agfj3o_pt8awujg9vuy1__d7hqr8yt42n__luu_hep_1et_dlku4_0f1_5_o/l5ohc8aqz1/otu615v2w0.php,bad
47,viverelagheula.net/wp-content/plugins/akismet/paypal.com.au/initthi.html?amp;cmd=signin&amp;co_partnerid=2&amp;errmsg=&amp;i1=&amp;pa1=&amp;pa2=&amp;pagetype=&amp;pp=&amp;puserid=&amp;ru=&amp;runame=%5c&amp;siteid=0&amp;usingssl=&amp;bshowgif=,bad
48,84.203.152.12/recordings/4/paypal.com/default.aspxrru=inbox&amp;wa=/update/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e575c479b41b6158af0f584e8ac5b87a4c75c479b41b6158af0f584e8ac5b87a4c,bad
49,spisane.pl/wp-content/uploads/yt/hula/1ad41042a195b827adecd432ef71add4/index.html?cmd=signin&amp;co_partnerid=2&amp;puserid=&amp;siteid=0&amp;pagetype=&amp;pa1=&amp;i1=&amp;bshowgif=&amp;usingssl=&amp;ru=&amp;pp=&amp;pa2=&amp;errmsg=&amp;runame=,bad
50,spisane.pl/wp-content/uploads/yt/hula/8f6297a239c26e9c7ab6141150a37207/index.html?cmd=signin&amp;co_partnerid=2&amp;puserid=&amp;siteid=0&amp;pagetype=&amp;pa1=&amp;i1=&amp;bshowgif=&amp;usingssl=&amp;ru=&amp;pp=&amp;pa2=&amp;errmsg=&amp;runame=,bad
51,google.nl/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;ved=0cceqfjaa&amp;url=http%3a%2f%2fark.com.ge%2f&amp;ei=ideouipui-ik0awa1ocidg&amp;usg=afqjcne1h_kileglt8o_ewzuszzujfmv9a&amp;sig2=ygg8nbviiowffiziskfjka,bad
52,standprincipal.pt/site/modules/mod_login/tmpl/char/paypal.com/fr/processing.htm?cmd=_processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365c34b436e20300f729f081c8bf10d1414c34b436e20300f729f081c8bf10d1414,bad
53,t.womenwan.com/game/images/tlcs/148-onepw/index.swf?act=http%3a%2f%2fyaowan.com%2fwebads_reg.php&amp;sendparam=%26recom_man%3dkr02%26recom_2%3djuncheng%26openerstr%3dkr02%26material_id%3d148-onepw%26plat%3dyw%26game%3dtlcs%26district%3d0%26sip%,bad
54,schooldrive.ru/bitrix/js/main/protection.wellsfargo.com/protection.wellsfargo.com/secure.php?zxjyb3iubm9vc2vybmftzq==zxjyb3iubm9vc2vybmftzq=http:/lunacar.net/cache/template/newwells/newwells/secure.php?zxjyb3iubm9vc2vybmftzq==zxjyb3iubm9vc,bad
55,viverelagheula.net/wp-content/plugins/akismet/paypal.com.au/initthi.html?usingssl=&amp;bshowgif=&amp;cmd=signin&amp;co_partnerid=2&amp;errmsg=&amp;i1=&amp;puserid=&amp;pa1=&amp;pa2=&amp;pagetype=&amp;pp=&amp;ru=&amp;runame=%5c&amp;siteid=0,bad
56,bortesztek.hu/images/hun/mdir/issue/ifconfig/sbin/dir/paypal.dk/webscr.htm?cmd=signin&amp;co_partnerid=2&amp;puserid=&amp;siteid=0&amp;pagetype=&amp;pa1=&amp;i1=&amp;bshowgif=&amp;usingssl=&amp;ru=&amp;pp=&amp;pa2=&amp;errmsg=&amp;runame=,bad
57,vinoscalyptra.cl/paypal/paypal/update/com/c53b375e47339f779a68088c7d648f89/wbsccr.php?cmd=_processing&amp;dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365aea49e3373cbf7bc336d49d99e495a6caea49e3373cbf7bc336d49d99e495a6c,bad
58,standprincipal.pt/site/modules/mod_login/compte-/cgi/paypal/paypal/new_passe.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc2ffc2fe8ec1746874bc36862db9aa84c2ffc2fe8ec1746874bc36862db9aa84c,bad
59,standprincipal.pt/site/modules/mod_login/tmpl/char/paypal.com/fr/processing.htm?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365e326f75a36485b741d9a2362942fdd8ce326f75a36485b741d9a2362942fdd8c,bad
60,84.203.152.12/panel/paypal.com/default.aspxrru=inbox&amp;wa=/update/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e575c479b41b6158af0f584e8ac5b87a4c75c479b41b6158af0f584e8ac5b87a4c,bad
61,schooldrive.ru/bitrix/js/main/protection.wellsfargo.com/protection.wellsfargo.com/secure.php?zxjyb3iubm9vc2vybmftzq==zxjyb3iubm9vc2vybmftzq=http:/lunacar.net/cache/template/newwells/newwells/secure.php?zxjyb3iubm9vc2vybmftzqhttp:/in,bad
62,viverelagheula.net/wp-content/plugins/akismet/paypal.com.au/initthi.html?usingssl=&amp;bshowgif=&amp;cmd=signin&amp;co_partnerid=2&amp;errmsg=&amp;i1=&amp;puserid=&amp;pa1=&amp;pa2=&amp;pagetype=&amp;pp=&amp;ru=&amp;runame=&amp;siteid=0,bad
64,84.203.152.12/recordings/2/paypal.com/default.aspxrru=inbox&wa=/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e575c479b41b6158af0f584e8ac5b87a4c75c479b41b6158af0f584e8ac5b87a4c,bad
65,84.203.152.12/recordings/4/paypal.com/default.aspxrru=inbox&wa=/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e575c479b41b6158af0f584e8ac5b87a4c75c479b41b6158af0f584e8ac5b87a4c,bad
66,vinoscalyptra.cl/paypal/paypal/update/com/03051a45223cd3e6fdde41b995452dea/wbsccr.php?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365635c603a545cb855a09b218ea45bfdd5635c603a545cb855a09b218ea45bfdd5,bad
67,vinoscalyptra.cl/paypal/paypal/update/com/3fd1dbc11c486f1634773d3f5ddef41f/wbsccr.php?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436590e26adf05e00d99957b5a203a246b1e90e26adf05e00d99957b5a203a246b1e,bad
68,vinoscalyptra.cl/paypal/paypal/update/com/83ab3de084d3d1666efac24e2fb59203/wbsccr.php?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43655a4e1972cc55b7922a2ee7a74b58e8895a4e1972cc55b7922a2ee7a74b58e889,bad
69,vinoscalyptra.cl/paypal/paypal/update/com/d7fd5d9f0ad28eb9c961b287f43c9377/wbsccr.php?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43659973b4d4689abc776cf920310cb27c159973b4d4689abc776cf920310cb27c15,bad
70,standprincipal.pt/site/modules/mod_login/compte-/cgi/paypal/paypal/new_passe.php?cmd=_login-run&amp;dispatchx85d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc18e922d49fe7535b5ac9d9a53ee2215718e922d49fe7535b5ac9d9a53ee22157,bad
71,standprincipal.pt/site/modules/mod_login/tmpl/char/paypal.com/fr/processing.htm?cmd=_processing&dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365c5eb4b823eb6251205732c141f2269d3c5eb4b823eb6251205732c141f2269d3,bad
72,viverelagheula.net/wp-content/plugins/akismet/paypal.com.au/initthi.html?bshowgif=&amp;cmd=signin&amp;co_partnerid=2&amp;errmsg=&amp;i1=&amp;pa1=&amp;pa2=&amp;pagetype=&amp;pp=&amp;puserid=&amp;ru=&amp;runame=&amp;siteid=0&amp;usingssl,bad
73,84.203.152.12/libs/paypal.com/default.aspxrru=inbox&amp;wa=/update/webscr.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5f469a4ea6b748ab07f305ac08a7316c3f469a4ea6b748ab07f305ac08a7316c3,bad
75,cmendgtit970446901.krovatka.su/uk_commercial_trucks&hash=item2a1d4eaf72&phpsessid=e6cbfb59301d9f9ed0212a4d9b9498f5&phpsessid=d50bf459580d1a17ccca469139db805880880322418pt=uk_commercial_trucks&hash=item2a1d4eaf72&phpsessid=e6cbfb59301.html,bad
76,rehmatulillalamin.net/paypal.it_service-security_confermation/it/processing1.php?cmd=_processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43658cc46c6c20c4a50ff5f75d41c5efee728cc46c6c20c4a50ff5f75d41c5efee72,bad
77,paypal.com.d6saf46da5s4f.hg6df514g65df4h53dfh.fd1h6thd5341g6wre1g23sdg.h16h3sd1gf6we54gh65s1dfgh6rehg1sdfh16rh13fs1dh65.1h6e1rhgsd54f651gh6we5f1eswd6g553sg.h16wesr1dg3s1d6g5ew1g.sh1we61hg3sd54f6we15g65s1dg.weq6g6sd5g41s.tecsystem.com.mx/,bad
78,schooldrive.ru/bitrix/js/main/protection.wellsfargo.com/protection.wellsfargo.com/secure.php?zxjyb3iubm9vc2vybmftzq==zxjyb3iubm9vc2vybmftzq=http:/indiatoursunlimited.com/wp-content/upgrade/mail/support.welsfargo-card.customer-online/,bad
79,standprincipal.pt/site/modules/mod_login/tmpl/char/paypal.com/fr/processing.htm?cmd=_processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365e326f75a36485b741d9a2362942fdd8ce326f75a36485b741d9a2362942fdd8c,bad
80,google.nl/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;ved=0cceqfjaa&amp;url=ark.com.ge/&amp;ei=ideouipui-ik0awa1ocidg&amp;usg=afqjcne1h_kileglt8o_ewzuszzujfmv9a&amp;sig2=ygg8nbviiowffiziskfjka,bad
81,vinoscalyptra.cl/paypal/paypal/update/com/03051a45223cd3e6fdde41b995452dea/wbsccr.php?cmd=_processing&dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365635c603a545cb855a09b218ea45bfdd5635c603a545cb855a09b218ea45bfdd5,bad
82,vinoscalyptra.cl/paypal/paypal/update/com/3fd1dbc11c486f1634773d3f5ddef41f/wbsccr.php?dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436590e26adf05e00d99957b5a203a246b1e90e26adf05e00d99957b5a203a246b1e&cmd=_processing,bad
83,vinoscalyptra.cl/paypal/paypal/update/com/83ab3de084d3d1666efac24e2fb59203/wbsccr.php?dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43655a4e1972cc55b7922a2ee7a74b58e8895a4e1972cc55b7922a2ee7a74b58e889&cmd=_processing,bad
84,vinoscalyptra.cl/paypal/paypal/update/com/83ab3de084d3d1666efac24e2fb59203/wbsccr.php?dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365bc10d2c955f29d09f95c3b1a32617431bc10d2c955f29d09f95c3b1a32617431&cmd=_processing,bad
85,vinoscalyptra.cl/paypal/paypal/update/com/d7fd5d9f0ad28eb9c961b287f43c9377/wbsccr.php?dispatchx85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43659973b4d4689abc776cf920310cb27c159973b4d4689abc776cf920310cb27c15&cmd=_processing,bad
