Website,Label,LastChecked,protocol
example.nl,good,2026-01-15 09:03:50.676270,HTTPS
shopee.co.id,good,2026-01-15 09:03:50.676270,HTTPS
youtube.com,good,2026-01-15 09:03:50.676270,HTTP
instagram.com,good,2026-01-15 09:03:50.676270,HTTP
cutt.ly/B0Y470,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/gamewr,good,2026-01-15 09:03:50.676270,HTTPS
catchmeup.id/2021/12/bongkahan-es-terbesar-mencair-akibat-pemanasan-global,good,2026-01-15 09:03:50.676270,HTTP
cnnindonesia.com/nasional/20210428121212-20-635852/kesaksian-warga-tangkap-babi-ngepet-di-depok/2,good,2026-01-15 09:03:50.676270,malformed
nytimes.com/2021/12/19/opinion/omicron-breakthroughs.html,good,2026-01-15 09:03:50.676270,HTTPS
palopopos.co.id/2021/12/wawali-rmb-hadiri-munas-vi-alumni-ipb,good,2026-01-15 09:03:50.676270,malformed
nytimes.com/interactive/2021/12/18/us/airstrikes-pentagon-records-civilian-deaths.html,good,2026-01-15 09:03:50.676270,HTTPS
s.id/pertamina47,bad,2026-01-15 09:03:50.676270,HTTP
s.id/pertamina-68,bad,2026-01-15 09:03:50.676270,HTTP
s.id/my-pertamina3,bad,2026-01-15 09:03:50.676270,HTTP
tsel.me/promositepat,bad,2026-01-15 09:03:50.676270,HTTP
covid19.go.id,good,2026-01-15 09:03:50.676270,HTTP
instagram.com/vernalta,good,2026-01-15 09:03:50.676270,HTTP
bsre.bssn.go.id/verifikasi,good,2026-01-15 09:03:50.676270,HTTPS
koleksikaktus.blogspot.com,good,2026-01-15 09:03:50.676270,HTTPS
otexts.com/fpp2/hierarchical.html,good,2026-01-15 09:03:50.676270,HTTPS
linkedin.com/jobs/view/2843471703,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/volunteer-kmis-2021,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/RPKMIS2122,good,2026-01-15 09:03:50.676270,HTTPS
153.92.4.68:5432,good,2026-01-15 09:03:50.676270,malformed
s.id/Uji-Evaluasi-BSSN,good,2026-01-15 09:03:50.676270,HTTPS
linktr.ee/vernalta,good,2026-01-15 09:03:50.676270,HTTPS
tsel.me/cashback75,good,2026-01-15 09:03:50.676270,HTTP
s.bps.go.id/wnast,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/shopeebigsale662,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/-pertamina252,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/infobeauty779,bad,2026-01-15 09:03:50.676270,HTTPS
tinyurl.com/ms-glow69,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/berkah-tiktok,bad,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/Jpk070,good,2026-01-15 09:03:50.676270,HTTPS
gallery24.tk,bad,2026-01-15 09:03:50.676270,malformed
my-discord-gift.com,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/UNDIAN-SHOPEE-2021,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Dana_Saluran_BPJS_2021,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Dana-Saluran-BPJS-2021,bad,2026-01-15 09:03:50.676270,HTTPS
disccord-appss.com,bad,2026-01-15 09:03:50.676270,malformed
dlscord.com,bad,2026-01-15 09:03:50.676270,malformed
stearncommunity.com,bad,2026-01-15 09:03:50.676270,malformed
klikbca.com,good,2026-01-15 09:03:50.676270,HTTP
rkb-gold.com,bad,2026-01-15 09:03:50.676270,malformed
s.id/BantuanDanaBPJS2021,bad,2026-01-15 09:03:50.676270,HTTP
prestasijuniorindonesia.cloudswyft.com,good,2026-01-15 09:03:50.676270,HTTP
stat.ipb.ac.id,good,2026-01-15 09:03:50.676270,malformed
grmds.org,good,2026-01-15 09:03:50.676270,malformed
datascience.or.id,good,2026-01-15 09:03:50.676270,malformed
medium.com/@986110101,good,2026-01-15 09:03:50.676270,HTTP
eiu.com/n/campaigns/democracy-index-2020,good,2026-01-15 09:03:50.676270,malformed
s.id/Uji-Evaluasi-BSSN,good,2026-01-15 09:03:50.676270,HTTPS
153.92.4.68:5432,good,2026-01-15 09:03:50.676270,malformed
153.92.4.68:5432/review,good,2026-01-15 09:03:50.676270,malformed
mail.google.com,good,2026-01-15 09:03:50.676270,HTTP
datascience.or.id,good,2026-01-15 09:03:50.676270,malformed
medium.com/data-science-indo/mengenal-lebih-dekat-calon-ibukota-negara-a40d0e36cda6,good,2026-01-15 09:03:50.676270,HTTP
pertamina0751.blogspot.com,bad,2026-01-15 09:03:50.676270,HTTPS
undian-kedasbeauty745.blogspot.com,bad,2026-01-15 09:03:50.676270,HTTPS
shopeebigsale662.blogspot.com,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/undian-kedasbeauty745,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Hadiah-pertamina99,bad,2026-01-15 09:03:50.676270,HTTPS
bitly.com/30en4UU,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/shopeebigsale662,bad,2026-01-15 09:03:50.676270,HTTPS
fs.blog/the-art-of-reading-analytical-reading,good,2026-01-15 09:03:50.676270,HTTPS
web.whatsapp.com,good,2026-01-15 09:03:50.676270,HTTPS
surat.cs.ui.ac.id/login,good,2026-01-15 09:03:50.676270,HTTPS
google.com,good,2026-01-15 09:03:50.676270,HTTPS
instagram.com,good,2026-01-15 09:03:50.676270,HTTP
202.95.10.130/?ref=propeller99dewa.com,good,2026-01-15 09:03:50.676270,malformed
bit.ly/office2016txt,bad,2026-01-15 09:03:50.676270,HTTPS
github.com,good,2026-01-15 09:03:50.676270,HTTPS
intip.in/hidrocon,bad,2026-01-15 09:03:50.676270,HTTPS
dicoding.id/referralprogram,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/berkah-ramadhan44,bad,2026-01-15 09:03:50.676270,HTTPS
dicoding.com/events/3847,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/info-resmi349,bad,2026-01-15 09:03:50.676270,HTTPS
149.56.24.226,good,2026-01-15 09:03:50.676270,malformed
music.youtube.com/watch?v=_KzHGbpxMOY&list=RDAMVM_KzHGbpxMOY,good,2026-01-15 09:03:50.676270,HTTP
153.92.4.68:5432,good,2026-01-15 09:03:50.676270,malformed
bit.ly/big-sale899,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/dana-subsidi691,bad,2026-01-15 09:03:50.676270,HTTP
covid19.go.id,good,2026-01-15 09:03:50.676270,HTTP
dicoding.id/referralprogram,good,2026-01-15 09:03:50.676270,HTTPS
axis.co.id/LC,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/inforesmijkt337,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/gebyarwhatsapp55,bad,2026-01-15 09:03:50.676270,HTTPS
google.com,good,2026-01-15 09:03:50.676270,HTTPS
bssn.go.com,bad,2026-01-15 09:03:50.676270,malformed
ui.ac.id,good,2026-01-15 09:03:50.676270,HTTPS
ugm.ac.id,good,2026-01-15 09:03:50.676270,HTTPS
ub.ac.id,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/3epIzWt,good,2026-01-15 09:03:50.676270,HTTPS
Youtube.com,good,2026-01-15 09:03:50.676270,HTTP
topremit.com/en,good,2026-01-15 09:03:50.676270,malformed
uph.edu,good,2026-01-15 09:03:50.676270,HTTPS
datascience.or.id,good,2026-01-15 09:03:50.676270,malformed
canvas.instructure.com,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/info-lazada00,bad,2026-01-15 09:03:50.676270,HTTPS
facebook.com,good,2026-01-15 09:03:50.676270,HTTP
domain_facebook.com,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/u-telkomsel,bad,2026-01-15 09:03:50.676270,HTTPS
sport.detik.com/sepakbola,good,2026-01-15 09:03:50.676270,HTTPS
twitter.com,good,2026-01-15 09:03:50.676270,malformed
bit.ly/gebyartiktok-com,bad,2026-01-15 09:03:50.676270,HTTPS
turnbackhoax.id,good,2026-01-15 09:03:50.676270,malformed
smartcity.jakarta.go.id,good,2026-01-15 09:03:50.676270,HTTPS
tirto.id,good,2026-01-15 09:03:50.676270,HTTP
twitter.com/BKNgoid/status/1473974635989327874,good,2026-01-15 09:03:50.676270,malformed
bit.ly/mysf-apps,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/AFAPKR,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/3cAZvak,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/xcrwa,good,2026-01-15 09:03:50.676270,HTTPS
tokopedia.com/distriponsel,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/ONXL20,good,2026-01-15 09:03:50.676270,HTTPS
linktr.ee,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/technical-test-dsls-2021,good,2026-01-15 09:03:50.676270,HTTPS
christianwbsn.github.io,good,2026-01-15 09:03:50.676270,HTTPS
facebook.pcriot.com,bad,2026-01-15 09:03:50.676270,malformed
inioverfitkedotcom.com,bad,2026-01-15 09:03:50.676270,malformed
facebook.com/login,good,2026-01-15 09:03:50.676270,HTTP
linkedin.com/login?fromSignIn=true&trk=guest_homepage-basic_nav-header-signin,good,2026-01-15 09:03:50.676270,HTTPS
bensteinn.com/account/login,good,2026-01-15 09:03:50.676270,malformed
spaces.hightail.com/space/iVYcsPqRUD,bad,2026-01-15 09:03:50.676270,malformed
casecopyrightmedia.com,bad,2026-01-15 09:03:50.676270,malformed
web.12min.com,good,2026-01-15 09:03:50.676270,HTTPS
dashboard.prakerja.go.id,good,2026-01-15 09:03:50.676270,HTTP
m.21cineplex.com/act?m=085156220395,good,2026-01-15 09:03:50.676270,malformed
gojek.link/gopay/a/jmdp52Y,good,2026-01-15 09:03:50.676270,HTTP
gojek.com/secure,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/spbupertamina09,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/tiktok-4166,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/gebyar-ms-glow,bad,2026-01-15 09:03:50.676270,HTTP
myads.id/kk001,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/pertamina323,bad,2026-01-15 09:03:50.676270,HTTPS
pay.mamikos.com/invoice/7UBAJ,good,2026-01-15 09:03:50.676270,HTTPS
tiket.com,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/kai13agt,good,2026-01-15 09:03:50.676270,HTTPS
pdl.id/c/19xvzz1n,good,2026-01-15 09:03:50.676270,malformed
halodoc.onelink.me/cQvV/636c3822,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/gebyarwhatsapp55,bad,2026-01-15 09:03:50.676270,HTTPS
dicoding.id/referralprogram,good,2026-01-15 09:03:50.676270,HTTPS
axis.co.id/LC,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/inforesmijkt337,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/big-sale899,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/dana-subsidi691,bad,2026-01-15 09:03:50.676270,HTTP
uhdtubevideos.com,bad,2026-01-15 09:03:50.676270,malformed
ptidincwhatsapp-2018.blogspot.com,bad,2026-01-15 09:03:50.676270,malformed
programkejutanbri.ga,bad,2026-01-15 09:03:50.676270,malformed
tinyurl.com/pesta-lazada12,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/danahgoib77,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Info-Hadiah368,bad,2026-01-15 09:03:50.676270,HTTPS
gg.gg/pemenangke3,bad,2026-01-15 09:03:50.676270,HTTPS
tiny.cc/hadiaherajaya,bad,2026-01-15 09:03:50.676270,malformed
gebyar-pertamina.cf,bad,2026-01-15 09:03:50.676270,malformed
receh4d.com,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/websiteklikaja,bad,2026-01-15 09:03:50.676270,HTTPS
infoper-tamina44.cf,bad,2026-01-15 09:03:50.676270,malformed
infoper-tamina9.cf,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/328o5eM,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/NikmatPKR,bad,2026-01-15 09:03:50.676270,HTTPS
forextraderglobal.com,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/danagaib47,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/layanan73,bad,2026-01-15 09:03:50.676270,HTTPS
program-give-away.ga,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/20-telkomsel,bad,2026-01-15 09:03:50.676270,HTTPS
ow.ly/AjMq102SkN4,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/cspertamina-79,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/DanaBPJS20-21,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/DanaBPJSKesehatan2021,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/saluran-bantuan,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/berkahpertamina257,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/cs-pertamina58,bad,2026-01-15 09:03:50.676270,HTTPS
galeri24official.ml,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/gemerlappertamina21,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/pertamina166,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/cs-pertamina97,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/rejeki-msglow,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/ms-glow67,bad,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/JpkOne,good,2026-01-15 09:03:50.676270,HTTPS
tinyurl.com/msglow-giveawayid,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/cs828-pertamina,bad,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/B0YA77,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/AccTOTO,good,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/Aha8et,good,2026-01-15 09:03:50.676270,HTTPS
smartinvestsolusindo.id,bad,2026-01-15 09:03:50.676270,malformed
tiny.cc/info-undian47,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/undianshopee-17,bad,2026-01-15 09:03:50.676270,HTTPS
mulaidulu.vip,bad,2026-01-15 09:03:50.676270,malformed
103.10.201.23,good,2026-01-15 09:03:50.676270,HTTP
bit.ly/pt-lazada352,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/joinrecovery,bad,2026-01-15 09:03:50.676270,HTTPS
chat-v.com/s/655ay6,bad,2026-01-15 09:03:50.676270,HTTPS
103.10.200.52,good,2026-01-15 09:03:50.676270,malformed
103.10.200.41,good,2026-01-15 09:03:50.676270,HTTP
tiny.cc/LPNINA,good,2026-01-15 09:03:50.676270,malformed
tiny.cc/IKUTLCIN,good,2026-01-15 09:03:50.676270,malformed
103.10.201.25,good,2026-01-15 09:03:50.676270,HTTP
tiny.cc/akhirtahun,bad,2026-01-15 09:03:50.676270,malformed
tayo4d.com,bad,2026-01-15 09:03:50.676270,malformed
103.10.201.31,good,2026-01-15 09:03:50.676270,HTTP
bit.ly/PPDI2IDEAS,good,2026-01-15 09:03:50.676270,HTTPS
bit.do/GebyarBankRakyatIndonesia,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/kejutanshopee2020,bad,2026-01-15 09:03:50.676270,HTTPS
chat-v.com/s/9jx12y,bad,2026-01-15 09:03:50.676270,HTTPS
103.10.201.22,good,2026-01-15 09:03:50.676270,malformed
103.10.200.45,good,2026-01-15 09:03:50.676270,HTTP
tiny.cc/ANTOLOGIKITA4,good,2026-01-15 09:03:50.676270,malformed
bit.ly/QQpedia,bad,2026-01-15 09:03:50.676270,HTTPS
103.10.200.47,good,2026-01-15 09:03:50.676270,malformed
bit.ly/yes8hoki28,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/2QWfqqw,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/invoiceYIF,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/BroVegas,good,2026-01-15 09:03:50.676270,HTTPS
trading-cif.com,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/undianbri4277,bad,2026-01-15 09:03:50.676270,HTTPS
yt5p0.com/s/b2cdue,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/solusi-sukses147,bad,2026-01-15 09:03:50.676270,HTTPS
salamrecovery.com,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/thrlazada,bad,2026-01-15 09:03:50.676270,HTTPS
bd303.info,good,2026-01-15 09:03:50.676270,malformed
bit.ly/gitarpker1,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/RgoPker,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/hadiah-shoope,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/TPK999,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/promoshopeemerdeka,bad,2026-01-15 09:03:50.676270,HTTP
bit.do/hadiah-shopeeday88,bad,2026-01-15 09:03:50.676270,malformed
s.id/shopeeid122,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/IndoTgl,good,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/Aha8et,good,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/JpkNO1,good,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/H07887,good,2026-01-15 09:03:50.676270,HTTPS
s.id/cc-pertamina05,bad,2026-01-15 09:03:50.676270,HTTP
s.id/HKB89,good,2026-01-15 09:03:50.676270,HTTPS
s.id/layanan-progran53,bad,2026-01-15 09:03:50.676270,HTTP
s.id/1Hk13,good,2026-01-15 09:03:50.676270,HTTPS
galeri24katalog.gq,bad,2026-01-15 09:03:50.676270,malformed
s.id/H-LC9,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/infolayanan10,bad,2026-01-15 09:03:50.676270,HTTPS
bit.do/fR5xz,good,2026-01-15 09:03:50.676270,malformed
s.id/program-pertamina3,bad,2026-01-15 09:03:50.676270,HTTP
bit.do/BroVEG4S,good,2026-01-15 09:03:50.676270,malformed
s.id/pertamina-elite013,bad,2026-01-15 09:03:50.676270,HTTP
tinyurl.com/Hk1nd0,good,2026-01-15 09:03:50.676270,malformed
akyvirgi.com,bad,2026-01-15 09:03:50.676270,malformed
cutt.ly/DMBET99,bad,2026-01-15 09:03:50.676270,HTTPS
b.link/Gitartgl,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/pt-pertamina88,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/infoL3L4ngtbk,good,2026-01-15 09:03:50.676270,HTTPS
tinyurl.com/cs-multitrader,good,2026-01-15 09:03:50.676270,malformed
multigt.web.id,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/inforesmi69,bad,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/HK_1ND0,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/cs-pertamina23,bad,2026-01-15 09:03:50.676270,HTTP
s.id/Afapkr,good,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/HK1ndo,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Wa-weto,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/dnid_pusat,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/layanan-gebyar21,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/PL4YB3T788,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/J0K3RN3T88,good,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/J0KERB3T888,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/layanan-progran53,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/8080Sp0r7,good,2026-01-15 09:03:50.676270,HTTPS
s.id/layanan-99,bad,2026-01-15 09:03:50.676270,HTTP
gg.gg/info-giveaway-28,bad,2026-01-15 09:03:50.676270,HTTPS
s.9e2.co/s/dzgn0k,good,2026-01-15 09:03:50.676270,malformed
cutt.ly/AHAB3T,bad,2026-01-15 09:03:50.676270,HTTPS
cutt.ly/T9eLmanDIRI,good,2026-01-15 09:03:50.676270,HTTPS
semarak-lzd.cf,bad,2026-01-15 09:03:50.676270,malformed
1r.cm/3tniq,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/Dana-BPJS-2021-Indonesia,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Rg0bet,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/J4Y4P-k3r,good,2026-01-15 09:03:50.676270,HTTPS
s.id/shopeeid337,bad,2026-01-15 09:03:50.676270,HTTP
s.id/progran56,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/P-K3Rboya,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/semarakgirobri,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/3e3T02D,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/818tg3l,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/layanan-99,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/program-mytelkomsel,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/2IcslDg,bad,2026-01-15 09:03:50.676270,HTTPS
infoptlazada.ml,bad,2026-01-15 09:03:50.676270,malformed
s.id/galeripemenang012,bad,2026-01-15 09:03:50.676270,HTTP
ptlazada.ga,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/BR0VE64S,good,2026-01-15 09:03:50.676270,HTTPS
s.id/shopeeid337,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/HorasPk3r,good,2026-01-15 09:03:50.676270,HTTPS
rebrand.ly/whatsappinc,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/ppesugihanuang,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/J4y4pk3r,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/3jTPBDF,bad,2026-01-15 09:03:50.676270,HTTPS
bit.do/RgoPker,good,2026-01-15 09:03:50.676270,malformed
s.id/shopeesale3-3,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/Info-pemenang567,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/info-pemenangptpertamina,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Batikpker,good,2026-01-15 09:03:50.676270,HTTPS
174.138.30.226,bad,2026-01-15 09:03:50.676270,malformed
bit.ly/undian-hadiahmart2020,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/J4y4pK3r,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/Eyangpkr,good,2026-01-15 09:03:50.676270,HTTPS
bit.ly/galeri-hadiah2020,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/lazada-info-tbk,bad,2026-01-15 09:03:50.676270,HTTPS
s.id/infofashion33,bad,2026-01-15 09:03:50.676270,HTTP
bit.ly/galeri-pemenang99,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/linkundian-pulsa,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/promo-1212,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/IKUTLMPN,bad,2026-01-15 09:03:50.676270,HTTPS
chat-v.com/s/8h5lwp,bad,2026-01-15 09:03:50.676270,HTTPS
bit.ly/kejutan-hadiah-telkomsel,bad,2026-01-15 09:03:50.676270,HTTPS
103.10.201.28,good,2026-01-15 09:03:50.676270,HTTP
103.10.200.59,good,2026-01-15 09:03:50.676270,HTTP
cucibaju.vip,bad,2026-01-15 09:03:50.676270,malformed
pornhub.com,good,2026-01-15 09:03:50.676270,malformed
pexels.com,good,2026-01-15 09:03:50.676270,malformed
xvideos.net,good,2026-01-15 09:03:50.676270,malformed
xhamster.com,good,2026-01-15 09:03:50.676270,malformed
cutt.ly/sYKNwmi,good,2026-01-15 09:03:50.676270,HTTPS
python.org,good,2026-01-15 09:03:50.676270,HTTPS
investasidanasukses.com,bad,2026-01-15 09:03:50.676270,malformed
medium.com,good,2026-01-15 09:03:50.676270,HTTP
riotgames.com,good,2026-01-15 09:03:50.676270,HTTP
account.riotgames.com,good,2026-01-15 09:03:50.676270,malformed
kalibrr.com,good,2026-01-15 09:03:50.676270,HTTPS
academy.dqlab.id,good,2026-01-15 09:03:50.676270,HTTPS
digitalbisa.id,good,2026-01-15 09:03:50.676270,HTTP
gmail.com,good,2026-01-15 09:03:50.676270,malformed
mmp.unej.ac.id,good,2026-01-15 09:03:50.676270,HTTP
sso.unej.ac.id,good,2026-01-15 09:03:50.676270,HTTPS
sso.unej.ac.id/cas/login,good,2026-01-15 09:03:50.676270,HTTPS
jobs.talentics.id,good,2026-01-15 09:03:50.676270,HTTPS
colab.research.google.com,good,2026-01-15 09:03:50.676270,HTTP
github.com/arshren,good,2026-01-15 09:03:50.676270,HTTPS
netflix.com,good,2026-01-15 09:03:50.676270,HTTP
tsel.me/PromosiTepat24,good,2026-01-15 09:03:50.676270,HTTP
bit.ly/pertamina19,bad,2026-01-15 09:03:50.676270,HTTPS
s.bps.go.id/wnu32,good,2026-01-15 09:03:50.676270,HTTPS
instagram.com,good,2026-01-15 09:03:50.676270,HTTP
